,nflId,height,weight,birthDate,collegeName,position,displayName
103,2552633,79,250,1994-06-04,Penn State,TE,Jesse James
202,2560994,78,252,1995-10-03,Penn State,TE,Mike Gesicki
283,2558105,73,209,1996-02-27,Penn State,WR,Chris Godwin
359,2560968,72,233,1997-02-09,Penn State,RB,Saquon Barkley
421,496937,74,245,1986-07-22,Penn State,ILB,Sean Lee
455,2552385,72,214,1993-04-29,Penn State,FS,Adrian Amos
470,2543509,74,220,1993-08-24,Penn State,WR,Allen Robinson
620,2556828,71,191,1993-09-15,Penn State,CB,Trevor Williams
726,2539293,74,236,1991-01-17,Penn State,ILB,Gerald Hodges
781,2561002,73,206,1995-03-10,Penn State,WR,DaeSean Hamilton
936,2533459,74,240,1988-03-14,Penn State,ILB,Nate Stupar
973,2555542,73,190,1993-08-02,Penn State,FS,Jordan Lucas
1066,2561001,69,190,1996-01-06,Penn State,CB,Grant Haley
1087,2560986,73,235,1996-03-17,Penn State,LB,Jason Cabinda
1114,2555270,79,275,1993-04-12,Penn State,OLB,Carl Nassib
1172,2561300,74,208,1996-03-17,Penn State,WR,Saeed Blacknall
1209,2560956,74,215,1996-08-07,Penn State,DB,Marcus Allen
1218,2556368,76,314,1994-05-08,Penn State,NT,Austin Johnson
1262,2552317,72,232,1991-05-25,Penn State,MLB,Mike Hull
